"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-FV-A3R2-11A",0.0295545953403235,0,0,0.163729319401927,0,0.105479410143366,0,0.047584950229987,0.0199525814924413,0.00645949874976195,0,0.0412420564037451,0.0397582153700015,0.035710449486559,0.0948186651363988,0.34371044557227,0.0308405702944396,0,0,0.0370175297816599,0,0.00414171259711867,0.24,0.0524051321196003,1.07021953711164
"TCGA-DD-A73D-01A",0.0565287439913635,0,0.00164081603556648,0.0545496226569515,0,0.156539821033402,0,0,0.00994111688941636,0,0.029133588257065,0.0611877669125536,0.0308670615211815,0.101147921547385,0.167159631710796,0.172707720638112,0.0251743146337328,0,0.128091977636696,0,0,0.00532989653577865,0.43,0.0183069813121556,1.08343841503043
"TCGA-2V-A95S-01A",0.0240626815670722,0,0.00625196212192874,0.318165670654748,0,0,0.0228188950900908,0.07336071525421,0.118399179824354,0.0107868538092968,0,0.0774981820368422,0,0.101963179594337,0.104941075761771,0.0879546523295947,0.0128637996216356,0,0.024586707242849,0,0,0.0163464450912699,0.18,0.0734815798300641,1.0858271436222
"TCGA-2Y-A9GT-01A",0.101877938324426,0,0.00766760197607704,0.263485092708972,0,0.161925273804446,0.00970849842226227,0.0568729384514686,0.113420813327506,0,0,0.0539764737170993,0.028038882617573,0,0.0694035963663842,0.0884586849118976,0.00743041059182312,0,0.0377337947800642,0,0,0,0.0600000000000001,0.157390216322404,1.04830947682547
"TCGA-DD-A11C-11A",0.0889174918259653,0,0.00775412820286734,0.179154562953701,0,0.131352078287564,0.0035797261950873,0.00218789760257116,0.00914136436045935,0,0.0838953551348421,0.029279515491148,0.0742357525982173,0,0.0383240999835364,0.233569902490298,0,0,0.1000007812198,0,0,0.0186073436539431,0.12,0.0905093900336227,1.04588844013919
"TCGA-G3-A25Z-01A",0.0075521903726358,0,0,0.105617690198709,0,0.172789881832293,0,0.00641470116150231,0.134281782533949,0,0.0750907789135453,0,0.0170846953885386,0.10274903442089,0.068635550020244,0.153060081535397,0.0856610918998009,0,0.0563240543511079,0,0.000791243479208835,0.0139472238921782,0.29,0.0371356643938657,1.0707952083325
"TCGA-DD-A114-01A",0.048216636875297,0,0.0237127840987331,0.178750695993626,0,0.0794180393706206,0.0139365414439128,0.0518293554186061,0.0796304697978708,0,0,0.0346281199497357,0.0165470142678571,0.118857575796648,0.120469744004712,0.0937400955430205,0.0603269409113074,0,0.0740289249392897,0,0,0.00590706158876334,0.09,0.118154917839666,1.03793386181827
"TCGA-WX-AA46-01A",0.0882959055309749,0,0.00687290893035108,0.0393748263075845,0,0.0873828566750442,0,0.0137115572135318,0.0285100348199715,0.0311866775094242,0,0.0724924580271821,0.0964971227154027,0.0934622728784207,0.110223382271055,0.283289935293539,0,0,0,0.0275505685050332,0,0.0211494933224852,0.37,0.0256572251965793,1.08045806183875
"TCGA-NI-A8LF-01A",0.135880517776241,0,0.0119757899873639,0.14456808227808,0,0.103864351533191,0,0.0116388586386857,0.102373266845406,0,0.0701984809260954,0,0.00727352397931517,0.0874239580131939,0.0333617586735763,0.281635652601368,0,0,0.00980575874748388,0,0,0,0.32,0.0327521437882029,1.07615169318161
"TCGA-DD-A39Z-11A",0.0742418888901509,0,0.0837194862093095,0.0790831341837994,0,0.13896005341816,0,0.0146059813981815,0.0830979881584217,0,0.0399464924034644,0.0611998128084234,0.0296585509080669,0.0150931766936668,0.0544608478200806,0.300483722268348,0.00121470283527146,0,0.0242341620046551,0,0,0,0.2,0.0648537956172735,1.05971149551652
